utc,lat,lon,h,quality,E,N,U,est_E,est_N,est_U,err_2d,err_3d,err_h
1621218776.0,22.301199858333334,114.17905710833334,3.471,2,-3.5719279319274336e-10,1.6021275338297045e-10,-0.000999999770190411,3.1309684132262077,-1.2316636838147117,-2.9808302162367397,3.3645146213502533,4.494368337847569,2.9798302164665493
1621218777.0,22.301199866666668,114.17905710000001,3.486,2,-0.000858689956202861,0.0009227864059200373,0.01400000062984029,3.1276937323272294,-1.2333938679605723,-2.9793112620467523,3.3632391919430917,4.502364953831326,2.9933112626765928
1621218778.0,22.301199891666666,114.1790570888889,3.481,2,-0.002003608038568313,0.0036911468771683798,0.009000000399498923,3.128355281384956,-1.2335704768206008,-2.980452415478496,3.366001054971332,4.501865041165373,2.989452415877995
1621218779.0,22.301199919444446,114.17905706666667,3.469,2,-0.004293446893765313,0.006767103338669999,-0.003000000198978398,3.1299240992234227,-1.2340963980465636,-2.9809991059336807,3.3709140979056214,4.497948480053497,2.9779991057347024
1621218780.0,22.30119995277778,114.1790570388889,3.458,2,-0.007155744026367166,0.01045825098852343,-0.014000000318923669,3.13035592061846,-1.2317425074096073,-2.979985866992444,3.37446916861708,4.492673405807985,2.9659858666735204
1621218781.0,22.301199997222223,114.17905698611112,3.441,2,-0.012594110428047754,0.015379779819957418,-0.031000000194391256,3.1302129166245916,-1.2335100026476116,-2.9795759018215207,3.3818577288294285,4.486765153838518,2.9485759016271293
1621218782.0,22.301200027777778,114.179056875,3.418,2,-0.024043303516248896,0.018763332066236253,-0.054000000632566776,3.125510730416299,-1.236701473393549,-2.9800846054094423,3.3905578435427053,4.478599513767803,2.9260846047768756
1621218783.0,22.30119862777778,114.17905499722222,3.394,2,-0.21753464091116698,-0.13626485304574557,-0.07800000471434523,2.876595902219613,-1.4571146000058595,-2.9507603856789912,3.3642663200138263,4.423916825440948,2.872760380964646
1621218784.0,22.30119312777778,114.179047975,3.374,2,-0.9411235852915791,-0.7453041259941817,-0.09800011206946174,2.0006657472319245,-2.2085881232635978,-2.860581135671878,3.285623918468735,4.2926889528105825,2.7625810236024164
1621218785.0,22.30118080277778,114.17903269444444,3.357,2,-2.5156739318312464,-2.1101056483588447,-0.11500084710830594,0.28350558273776993,-3.694748886207799,-2.684007921439036,3.216597603997623,4.116588088940232,2.56900707433073
1621218786.0,22.301161802777777,114.17900870555556,3.358,3,-4.987555373117184,-4.2140589889535445,-0.11400334867996453,-2.336691745546916,-5.903205355536181,-2.4330896172732945,3.1432934033771525,3.906207180999551,2.3190862685933302
1621218787.0,22.301138725,114.17897876388889,3.358,3,-8.072828399446344,-6.769561969697028,-0.11400871795398348,-5.430935468068444,-8.464466272223216,-2.115392653275232,3.138837182076556,3.722611517758503,2.0013839353212486
1621218788.0,22.301116494444447,114.17894925833333,3.359,3,-11.113164271479214,-9.231247707266085,-0.11301639251561513,-8.392023563899812,-10.925568484612368,-1.8232963266738988,3.2055155040949397,3.633233697435041,1.7102799341582837
1621218789.0,22.301091522222222,114.17892130555556,3.371,3,-13.99349883026904,-11.996529868525856,-0.10102668442120333,-11.153123532154618,-13.944618342587393,-1.5069403140152722,3.444238745631609,3.7201308674276996,1.4059136295940688
1621218790.0,22.30105871111111,114.17890365555556,3.351,3,-15.812207940235709,-15.629847323928335,-0.12103884232056483,-12.572185011171538,-17.779675386627122,-1.264353406162454,3.8883813187531895,4.05298377395244,1.1433145638418891
